BASINID;Precip;Rnat;Qact;Qnat
1;2091.67;858.77;5025.75;5027.22
2;574.20;132.73;484.96;507.98
3;1529.04;482.05;1782.68;1782.99
4;741.92;177.65;538.37;568.97
5;437.21;97.43;289.73;295.38
6;1131.51;225.65;595.59;601.09
7;458.35;164.86;423.42;425.02
8;380.71;116.80;284.92;285.26
9;661.04;166.18;369.11;372.24
10;30.27;0.23;0.34;0.42
11;1013.72;312.33;436.57;560.37
12;550.83;155.27;261.14;272.45
13;391.13;119.12;195.92;201.84
14;1253.22;623.98;703.09;1016.06
15;595.09;132.40;203.42;205.00
16;563.74;162.60;233.81;240.15
17;928.38;285.83;388.71;389.73
18;198.52;1.33;1.56;1.56
19;120.85;25.27;25.36;29.22
20;402.11;84.10;38.37;96.24
21;490.87;124.97;140.85;142.45
22;211.64;3.74;4.00;4.08
23;269.10;40.78;32.97;43.18
24;854.64;464.86;487.92;489.79
25;2319.22;1126.82;1167.60;1171.33
26;443.70;23.31;20.46;24.06
27;265.13;56.48;36.79;56.05
28;314.65;9.01;7.63;8.51
29;435.08;41.17;18.46;36.80
30;268.36;49.54;42.40;42.40
31;363.83;57.00;47.45;48.29
32;86.08;0.68;0.49;0.57
33;597.23;63.60;50.52;51.90
34;301.32;30.18;21.44;24.37
35;331.04;11.66;6.53;9.38
36;787.95;265.92;203.15;209.64
37;1688.01;651.94;500.41;501.11
38;1485.47;563.43;400.63;427.46
39;97.99;1.52;1.14;1.15
40;621.76;280.31;198.21;205.27
41;26.00;0.15;0.11;0.11
42;518.56;57.57;40.28;40.36
43;302.19;101.50;67.57;67.57
44;329.33;127.49;68.01;78.94
45;994.23;204.40;124.29;125.86
46;23.49;0.00;0.00;0.00
47;588.92;122.66;59.75;63.06
48;90.15;0.03;0.01;0.02
49;496.80;88.26;33.42;37.68
50;258.00;19.38;7.72;8.18
51;487.73;11.49;3.72;4.83
52;193.61;20.20;5.27;8.49
53;138.56;0.39;0.08;0.16
54;1420.40;417.16;142.01;170.43
55;1928.76;1006.80;389.85;408.79
56;1039.38;186.53;74.19;74.28
57;201.78;10.77;2.67;4.03
58;336.68;120.87;44.76;44.76
59;608.58;227.18;82.09;82.10
60;1462.91;487.29;170.10;173.23
61;114.88;3.39;0.90;1.15
62;28.51;0.00;0.00;0.00
63;276.56;89.30;29.83;29.83
64;159.69;2.24;0.43;0.75
65;1154.31;283.57;93.58;93.90
66;551.01;249.65;78.54;78.54
67;1053.20;361.04;75.63;112.54
68;462.89;151.88;46.09;46.09
69;287.24;108.00;32.77;32.77
70;327.98;32.02;8.64;9.50
71;86.45;37.93;0.50;0.50
72;631.99;256.17;71.34;72.88
73;261.30;3.46;0.96;0.96
74;482.13;42.91;5.96;11.76
75;968.53;422.10;113.55;115.38
76;94.49;7.54;1.48;2.01
77;1932.83;847.59;207.89;213.38
78;802.65;154.06;9.63;38.77
79;690.88;57.56;14.47;14.47
80;124.05;0.07;0.01;0.02
81;519.16;27.96;1.93;6.86
82;895.39;114.37;8.64;27.93
83;770.14;426.79;101.19;101.36
84;97.88;2.41;0.45;0.56
85;957.39;236.78;54.59;54.66
86;180.59;0.07;0.02;0.02
87;360.80;159.82;36.14;36.14
88;272.11;76.24;17.21;17.21
89;295.41;78.89;17.60;17.60
90;281.29;23.31;4.86;5.16
91;557.82;149.75;27.38;32.78
92;171.00;1.03;0.22;0.22
93;1862.42;701.34;147.35;147.39
94;276.76;19.44;2.85;4.06
95;236.34;72.41;3.97;3.97
96;255.02;5.43;1.11;1.11
97;53.37;1.18;0.21;0.24
98;549.28;367.20;73.39;73.39
99;280.35;58.86;6.67;11.63
100;259.66;55.66;10.89;10.95
101;56.69;0.00;0.00;0.00
102;58.24;0.00;0.00;0.00
103;440.35;25.85;4.97;4.97
104;588.45;120.93;19.13;23.21
105;1076.59;335.85;62.53;62.77
106;644.58;126.06;22.64;22.76
107;504.81;225.63;38.59;38.59
108;1389.06;426.76;64.18;73.06
109;318.55;18.82;3.11;3.12
110;917.76;357.24;58.47;58.97
111;406.56;180.20;29.64;29.63
112;1194.27;432.34;70.78;70.83
113;361.57;9.86;1.46;1.59
114;290.42;7.61;1.21;1.22
115;390.24;12.53;1.97;1.97
116;159.08;3.14;0.42;0.49
117;371.85;206.77;32.15;32.15
118;1223.67;442.03;68.10;68.14
119;2111.53;820.97;123.81;123.85
120;706.62;482.08;71.78;72.38
121;626.53;114.64;16.61;17.03
122;12.97;0.00;0.00;0.00
123;340.90;73.12;9.64;10.52
124;65.57;0.62;0.05;0.09
125;791.78;195.68;27.40;28.01
126;1266.08;271.52;20.92;38.51
127;1289.27;551.05;50.01;77.81
128;636.48;43.72;5.84;6.05
129;182.68;14.39;1.90;1.97
130;63.75;0.03;0.00;0.00
131;1748.88;722.05;93.31;93.32
132;706.97;334.35;43.06;43.05
133;353.35;32.80;0.82;4.21
134;681.69;52.53;6.02;6.65
135;688.75;48.60;5.45;6.08
136;299.24;112.42;13.96;13.96
137;1389.97;506.47;62.77;62.88
138;76.35;0.00;0.00;0.00
139;935.28;281.78;31.83;34.65
140;558.58;20.24;2.13;2.45
141;560.75;35.98;3.88;4.36
142;608.16;96.22;11.42;11.53
143;769.60;190.30;22.32;22.51
144;895.01;143.03;16.75;16.79
145;395.33;126.63;14.66;14.66
146;843.30;456.80;52.46;52.46
147;1037.00;414.99;21.83;47.43
148;92.05;0.02;0.00;0.00
149;901.08;642.67;71.13;71.10
150;418.95;16.43;1.81;1.81
151;388.04;84.48;7.96;9.27
152;419.19;50.31;4.56;5.55
153;515.27;188.83;17.01;20.67
154;230.39;66.00;7.17;7.17
155;671.75;54.88;5.65;5.89
156;810.37;107.97;11.57;11.58
157;553.97;34.57;3.68;3.68
158;201.65;3.61;0.38;0.38
159;270.96;209.06;1.00;1.00
160;502.92;31.57;3.33;3.35
161;1320.43;267.67;27.50;27.86
162;578.53;234.58;24.41;24.41
163;1184.56;643.04;61.98;65.71
164;333.07;6.54;0.66;0.66
165;1078.39;526.61;51.58;52.29
166;280.73;73.78;7.30;7.30
167;712.71;443.70;43.92;43.90
168;887.88;189.59;18.45;18.75
169;182.87;0.02;0.00;0.00
170;669.90;149.98;14.68;14.72
171;662.52;181.29;16.62;17.61
172;628.37;173.28;16.76;16.81
173;289.18;125.96;12.57;12.57
174;285.68;32.35;1.73;3.13
175;656.58;59.40;5.57;5.63
176;516.53;181.74;17.08;17.08
177;1537.05;537.90;49.61;49.70
178;175.79;0.00;0.00;0.00
179;961.96;609.33;56.17;56.16
180;853.53;214.45;18.24;19.74
181;609.07;431.94;19.10;19.10
182;1193.07;272.65;24.49;24.63
183;230.58;2.51;0.22;0.22
184;661.35;268.08;23.77;23.89
185;223.36;0.09;0.01;0.01
186;338.38;52.95;4.61;4.64
187;496.73;192.61;16.60;16.60
188;54.58;0.00;0.00;0.00
189;225.44;26.94;2.30;2.32
190;429.94;208.71;18.11;18.11
191;273.58;4.60;0.39;0.39
192;203.17;12.35;1.04;1.05
193;633.72;194.15;16.17;16.19
194;269.32;120.02;1.51;1.51
195;2303.68;1028.25;85.70;85.71
196;647.78;118.77;9.85;9.84
197;1250.18;258.60;21.13;21.31
198;1575.56;592.80;47.02;47.87
199;236.36;44.22;3.56;3.56
200;51.93;0.00;0.00;0.00
201;3561.55;2107.83;169.29;169.41
202;89.08;0.00;0.00;0.00
203;1089.19;329.70;13.05;25.94
204;127.37;0.16;0.01;0.01
