BASINID;Yld_DIN;Yld_DIP;Yld_DON;Yld_DOP;Yld_DOC;Yld_DSi;Yld_PN;Yld_PP;Yld_POC;Ld_DIN;Ld_DIP;Ld_DON;Ld_DOP;Ld_DOC;Ld_DSi;Ld_PN;Ld_PP;Ld_POC;Yld_TSS;Ld_TSS
1;122.5583;16.1797;243.1163;13.1349;3952.4537;3350.3459;281.6601;120.2810;2551.7365;716582.1720;94600.8725;1421469.4440;76798.2701;23109482.8502;19589036.8406;1646830.1381;703267.2255;14919671.7941;75.4806;441325210.8830
2;0.2526;0.0027;0.1602;0.0085;2.2183;25.3030;3.6593;1.6077;34.2277;965.3720;10.1705;612.1288;32.6260;8477.2972;96697.5405;13984.2735;6144.0685;130804.2685;1.6375;6258008.5165
3;73.7288;4.4755;140.0925;7.5093;2280.9746;787.7722;51.3060;21.6286;459.8508;272385.7831;16534.3431;517561.9695;27742.5995;8426901.0160;2910369.1738;189546.5680;79905.2701;1698886.4116;10.7192;39601346.2604
4;179.9276;8.0378;57.3407;3.1901;803.7626;484.6315;55.9224;23.9156;509.2604;575619.0880;25714.4048;183442.7882;10205.6339;2571373.3333;1550418.6690;178905.1914;76510.1534;1629210.6452;16.5886;53069702.4387
5;29.3349;4.3717;33.8038;1.6945;545.9105;337.3242;33.7010;14.4505;308.0431;88659.4324;13212.5643;102165.8763;5121.4667;1649916.3062;1019501.5879;101855.2876;43673.9408;931004.8120;10.6946;32322476.8777
6;121.1709;2.4276;75.8286;4.0762;1171.8530;467.0362;32.6322;14.1540;301.2913;322422.4379;6459.5282;201771.6877;10846.2446;3118171.9512;1242731.9312;86830.5693;37662.2324;801702.9582;12.1981;32457756.8873
7;18.4238;0.4083;51.3040;2.7180;772.9747;368.5586;38.0139;16.2939;347.1226;47453.4625;1051.7036;132141.7470;7000.7363;1990919.9367;949281.5352;97910.9463;41967.6416;894069.8448;11.8542;30532398.3791
8;12.2717;0.6239;35.9737;1.9228;522.5248;362.3643;49.5990;21.7197;462.8864;29929.5218;1521.7104;87736.2006;4689.4101;1274385.6262;883770.2464;120967.0396;52972.2479;1128933.5904;21.5569;52575036.3117
9;84.7240;0.9810;51.4503;2.8039;790.8712;220.4476;33.5558;14.3410;305.6067;189558.0101;2194.9363;115112.8441;6273.4277;1769463.6538;493220.7525;75076.3172;32085.9962;683752.2409;9.9717;22310224.8701
10;0.0599;0.0717;0.0484;0.0007;0.0000;0.0000;0.0000;0.0000;0.0000;108.8779;130.2475;87.8496;1.3025;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000
11;486.2747;21.6570;96.9136;5.5091;1067.2383;592.4820;48.2716;25.6160;544.8306;871462.5890;38811.9477;173680.7716;9872.9295;1912619.1577;1061798.8094;86508.4532;45906.9271;976401.8696;78.5725;140811387.8400
12;76.6715;6.2413;52.2949;2.7553;736.0319;600.4213;47.8670;20.4730;436.5089;134374.5086;10938.4256;91652.0551;4829.0189;1289969.5313;1052298.3820;83891.6698;35881.0477;765025.5524;14.5687;25533127.5480
