BASINID;basinname;A;land_fr;basincellcnt;mouth_lon;mouth_lat;continent;ocean;sea;seabasin
1;Amazon;5846870;0.9888;1916;-51.75;-1.25;South America;Atlantic Ocean;Atlantic Ocean;Guiana Coast - Amazon Cone
2;Nile;3821590;0.9737;1283;31.25;31.25;Africa;Mediterranean+Black Sea;Mediterranean Sea;East Mediterranean
3;Zaire;3694430;0.9802;1203;12.75;-5.75;Africa;Atlantic Ocean;Atlantic Ocean;Angola Basin
4;Mississippi;3199170;0.9975;1371;-90.25;29.75;North America;Atlantic Ocean;Gulf of Mexico;North Mexican Gulf
5;Ob;3022320;0.9958;1786;69.25;66.75;North Asia;Arctic Ocean;Kara Sea;Kara Sea
6;Parana;2660890;0.9961;939;-58.75;-34.25;South America;Atlantic Ocean;Atlantic Ocean;Rio de la Plata Coast
7;Yenisei;2575660;0.9836;1627;82.25;71.25;North Asia;Arctic Ocean;Kara Sea;Kara Sea
8;Lena;2438900;0.9981;1651;127.25;73.25;North Asia;Arctic Ocean;Laptev Sea;Laptev Sea
9;Niger;2237360;0.9963;749;6.75;4.75;Africa;Atlantic Ocean;Atlantic Ocean;Niger Delta Cone
10;Tamanrasett;1816640;0.9982;651;-16.25;20.25;Africa;Atlantic Ocean;Atlantic Ocean;South Canary Basin
11;Chang Jiang;1792120;0.9880;672;121.75;31.25;South Asia;Pacific Ocean;Pacific Ocean;West Yellow Sea
12;Amur;1752600;0.9946;881;140.75;53.25;North Asia;Pacific Ocean;Pacific Ocean;West Okhotsk Sea
13;Mackenzie;1692900;0.9414;1127;-134.75;69.25;North America;Arctic Ocean;Beaufort Sea;Beaufort Sea
14;Ganges;1626470;0.9946;592;90.75;22.75;South Asia;Indian Ocean;Indian Ocean;Bengal Gulf
15;CHARI BOUSSO/ Lake Chad;1545750;0.9822;515;14.25;12.25;Africa;Land;Land;Land
16;Volga;1474650;0.9865;848;48.25;46.25;Europe;Land;Caspian Sea;North West Caspian Sea
17;Zambezi;1361960;0.9699;457;36.25;-18.75;Africa;Indian Ocean;Indian Ocean;Mozambique Coast
18;GreatArtesian/CopperCR;1169990;0.9845;419;136.75;-28.75;Australia;Land;Land;Land
19;Tarim;1154400;0.9959;479;86.25;41.25;South Asia;Land;Land;Land
20;Indus;1141750;0.9989;434;67.75;24.25;South Asia;Indian Ocean;Indian Ocean;Indus Delta Coast
21;Nelson;1138420;0.9469;592;-92.75;57.25;North America;Atlantic Ocean;Hudson Bay;West Hudson Bay
22;Kerulen;1088500;0.9975;494;117.75;49.25;North Asia;Land;Land;Land
23;Syr-Darya;1057490;0.9924;489;61.25;45.75;North Asia;Land;Aral Sea;Aral Sea
24;SAINT LAWRENCE;1052470;0.7528;487;-70.75;47.25;North America;Atlantic Ocean;Atlantic Ocean;Saint Lawrence Gulf
25;Orinoco;1038130;0.9945;338;-61.25;8.75;South America;Atlantic Ocean;Atlantic Ocean;Guiana Coast - Amazon Cone
26;Murray;1030290;0.9972;393;139.25;-35.25;Australia;Indian Ocean;Indian Ocean;South East Australia Coast
27;Shatt el Arab;988948;0.9992;386;48.25;30.25;South Asia;Indian Ocean;Indian Ocean;Persian Gulf
28;Orange;942459;0.9985;344;16.75;-28.25;Africa;Atlantic Ocean;Atlantic Ocean;Cape Basin
29;Huang He;892570;0.9919;361;118.25;37.75;South Asia;Pacific Ocean;Pacific Ocean;Pohai Gulf
30;Yukon;854690;0.9940;644;-164.75;62.75;North America;Pacific Ocean;Bering Strait;Norton Gulf
31;Senegal;846269;0.9975;287;-16.25;16.25;Africa;Atlantic Ocean;Atlantic Ocean;Cape Verde Basin
32;Irharhar;841249;0.9998;318;9.75;34.25;Africa;Mediterranean+Black Sea;Mediterranean Sea;South Ionian Sea
33;Jubba;815089;0.9958;265;42.25;0.25;Africa;Indian Ocean;Indian Ocean;Somali Coast
34;Colorado (Ari);806617;0.9980;325;-114.75;31.75;North America;Pacific Ocean;Pacific Ocean;California Gulf
35;Rio Grande (US);803837;0.9972;301;-97.25;25.75;North America;Atlantic Ocean;Gulf of Mexico;West Mexican Gulf
36;Danube;787069;0.9978;370;29.25;45.25;Europe;Mediterranean+Black Sea;Black Sea;North Black Sea
37;Tocantins;767705;0.9951;254;-49.25;-2.25;South America;Atlantic Ocean;Atlantic Ocean;Guiana Coast - Amazon Cone
38;Mekong;757660;0.9944;261;106.25;10.25;South Asia;Pacific Ocean;Pacific Ocean;West SouthChina Sea
39;Bode le Depression;756686;0.9977;258;17.75;16.75;Africa;Land;Land;Land
40;Columbia;731105;0.9950;341;-123.75;46.25;North America;Pacific Ocean;Pacific Ocean;South Cascadia Basin
41;Araye;725487;0.9993;262;20.25;30.25;Africa;Mediterranean+Black Sea;Mediterranean Sea;South Ionian Sea
42;Okavango;700297;0.9982;241;23.25;-20.25;Africa;Land;Land;Land
43;Kolyma;664851;0.9996;518;161.25;69.25;North Asia;Arctic Ocean;East Siberian Sea;East Siberian Sea
44;Amu-Darya;616576;0.9975;256;59.25;43.75;South Asia;Land;Aral Sea;Aral Sea
45;Sao Francisco;614418;0.9975;205;-36.75;-10.25;South America;Atlantic Ocean;Atlantic Ocean;North Brazilian Basin
46;Qattara;581215;0.9987;209;28.75;30.75;Africa;Mediterranean+Black Sea;Mediterranean Sea;East Mediterranean
47;Dnepr;508234;0.9916;264;32.25;46.25;Europe;Mediterranean+Black Sea;Black Sea;North Black Sea
48;Dawasir;473614;0.9975;165;51.25;24.75;South Asia;Indian Ocean;Indian Ocean;Persian Gulf
49;Don;422537;0.9870;212;38.75;47.25;Europe;Mediterranean+Black Sea;Black Sea;Azov Sea
50;Colorado (Argentina);421298;0.9974;166;-62.25;-39.75;South America;Atlantic Ocean;Atlantic Ocean;Pampa Coast
51;Limpopo;419839;0.9988;148;33.75;-24.75;Africa;Indian Ocean;Indian Ocean;Agulhas Basin
52;HELMAND/ Farah;419621;0.9921;160;61.25;30.25;South Asia;Land;Land;Land
53;Muqshin;413968;0.9980;141;56.25;18.75;South Asia;Indian Ocean;Indian Ocean;South Arabian Coast
54;Zhujiang;408043;0.9945;145;113.25;22.25;South Asia;Pacific Ocean;Pacific Ocean;North SouthChina Sea
55;Irrawaddy;405481;0.9939;143;95.25;15.75;South Asia;Indian Ocean;Indian Ocean;Adaman Sea
56;Volta;397598;0.9641;131;0.25;5.75;Africa;Atlantic Ocean;Atlantic Ocean;Guinea Basin
57;GHAASBasin57;373500;0.9990;153;53.75;39.75;South Asia;Land;Caspian Sea;South East Caspian Sea
58;Khatanga;369915;0.9929;356;106.25;73.25;North Asia;Arctic Ocean;Laptev Sea;Laptev Sea
59;Dvina;360513;0.9965;248;40.25;64.75;Europe;Arctic Ocean;Barents Sea;Barents Sea
60;Urugay;355084;0.9920;133;-58.25;-33.75;South America;Atlantic Ocean;Atlantic Ocean;Rio de la Plata Coast
61;Dzungarian;337755;0.9988;154;85.75;45.75;North Asia;Land;Land;Land
62;GHAASBasin62;337495;0.9982;123;15.75;31.25;Africa;Mediterranean+Black Sea;Mediterranean Sea;South Ionian Sea
63;Indigirka;333729;0.9995;274;149.75;71.25;North Asia;Arctic Ocean;East Siberian Sea;East Siberian Sea
64;GHAASBasin64;332518;0.9987;130;53.25;34.25;South Asia;Land;Land;Land
65;Parnaiba;330585;0.9969;108;-41.75;-3.25;South America;Atlantic Ocean;Atlantic Ocean;Ceara Abyssal Plain
66;Pechora;313916;0.9925;244;54.25;68.25;Europe;Arctic Ocean;Barents Sea;Barents Sea
67;Godavari;311206;0.9972;107;81.75;16.75;South Asia;Indian Ocean;Indian Ocean;East Deccan Coast
68;Churchill (Hudson Bay);303135;0.9179;177;-94.25;58.75;North America;Atlantic Ocean;Hudson Bay;West Hudson Bay
