BASINID;Precip;Rnat;Qact;Qnat
1;2093.02;1206.19;6444.09;7061.48
2;557.96;93.10;347.84;356.17
3;1467.43;345.61;1278.28;1278.46
4;750.79;204.55;620.03;655.68
5;432.72;131.66;392.97;398.32
6;1157.64;209.73;558.85;558.73
7;448.64;231.77;596.33;601.89
8;364.28;196.36;480.54;485.04
9;660.92;148.15;324.77;332.08
10;33.47;0.21;0.31;0.38
11;1000.01;538.50;905.28;966.23
12;535.10;198.22;337.59;348.34
13;363.53;157.07;289.51;269.60
14;1288.48;857.28;1143.76;1395.93
15;583.16;103.60;151.12;160.32
16;554.99;174.41;256.85;261.37
17;915.41;228.49;309.43;311.51
18;261.76;3.27;3.83;3.86
19;123.30;24.05;24.19;29.03
20;392.63;82.06;51.58;94.01
21;472.67;82.11;87.33;93.58
22;207.98;3.39;3.62;3.70
23;251.55;40.97;35.20;43.42
24;851.81;336.70;354.84;354.78
25;2358.92;1073.24;1115.14;1115.73
26;464.83;10.65;6.60;10.98
27;266.52;58.81;42.86;59.21
28;335.31;13.02;11.49;12.28
29;412.88;67.14;30.66;60.20
30;252.62;80.75;90.30;69.17
31;359.57;34.77;24.91;29.47
32;97.08;1.30;1.00;1.12
33;511.45;18.29;13.87;14.93
34;298.30;26.62;19.03;21.49
35;343.15;8.38;3.12;6.76
36;783.22;267.44;200.19;210.90
37;1721.04;498.11;383.38;382.89
38;1456.92;585.13;433.30;444.05
39;94.07;1.11;0.84;0.84
40;594.20;337.48;240.44;246.98
41;28.67;0.09;0.07;0.07
42;523.74;53.56;37.48;37.59
43;275.93;156.43;104.13;104.08
44;306.27;111.18;69.92;68.92
45;964.96;142.12;86.59;87.44
46;27.46;0.00;0.00;0.00
47;591.91;96.51;46.94;49.09
48;94.58;0.04;0.02;0.02
49;479.04;66.28;26.76;28.03
50;274.23;26.00;10.47;10.97
51;541.18;22.10;8.38;9.33
52;197.27;19.85;5.06;8.35
53;143.69;0.52;0.10;0.21
54;1411.47;663.39;259.51;271.00
55;1932.66;1565.74;619.15;635.67
56;1030.24;114.58;25.66;45.60
57;190.88;11.44;2.69;4.28
58;305.04;92.24;34.37;34.16
59;602.06;298.80;107.83;108.00
60;1468.13;552.04;196.02;196.39
61;124.97;3.69;0.93;1.25
62;34.15;0.00;0.00;0.00
63;254.67;150.90;50.42;50.39
64;169.61;4.60;1.04;1.53
65;1066.24;80.64;26.70;26.69
66;519.56;453.04;142.41;142.38
67;1060.88;336.10;91.97;104.64
68;444.21;130.22;39.52;39.51
69;274.18;118.54;35.97;35.98
70;296.72;36.41;10.52;10.78
71;92.22;40.50;0.54;0.54
72;594.11;281.27;78.87;80.01
73;294.52;3.42;0.94;0.94
74;480.40;40.86;5.92;11.23
75;948.13;403.40;108.48;110.37
76;102.67;9.58;1.97;2.55
77;1962.96;948.61;236.03;238.80
78;778.67;275.81;39.62;69.42
79;698.94;50.85;12.78;12.79
80;137.71;0.10;0.02;0.02
81;490.34;21.23;1.25;5.21
82;846.15;198.58;27.79;48.51
83;742.03;431.80;102.49;102.54
84;104.46;1.90;0.38;0.46
85;863.15;206.61;47.58;47.69
86;192.85;0.01;0.00;0.00
87;320.21;163.93;37.02;37.03
88;253.32;143.30;32.45;32.24
89;280.21;145.35;32.47;32.56
90;272.93;25.49;6.66;5.68
91;545.98;96.03;15.09;21.02
92;224.24;1.26;0.27;0.27
93;1792.35;716.04;150.47;150.47
94;269.96;19.35;2.68;4.03
95;248.80;83.16;4.09;4.09
96;267.73;3.98;0.81;0.81
97;58.68;0.89;0.16;0.18
98;551.58;365.86;73.08;73.10
99;303.29;117.99;24.25;23.30
100;267.74;39.03;7.62;7.68
101;57.85;0.00;0.00;0.00
102;78.87;0.00;0.00;0.00
103;445.34;31.37;7.98;6.10
104;613.61;60.69;10.38;11.65
105;1014.65;322.82;28.60;60.33
106;618.20;182.07;32.83;32.88
107;493.96;249.01;42.58;42.66
108;1400.24;450.23;67.96;76.94
109;314.57;17.09;2.82;2.84
110;900.34;441.89;72.83;72.94
111;387.01;163.90;26.96;26.95
112;1143.92;380.03;62.22;62.32
113;363.95;9.52;1.42;1.54
114;294.18;4.91;0.78;0.78
115;424.76;12.57;1.98;1.98
116;157.13;2.99;0.39;0.47
117;374.45;208.92;32.46;32.88
118;1184.14;418.41;64.49;64.51
119;2204.08;929.49;140.17;140.17
120;683.88;497.76;74.20;74.73
121;617.36;181.06;26.68;26.89
122;13.87;0.00;0.00;0.00
123;290.51;50.71;6.64;7.29
124;75.88;0.71;0.07;0.10
125;774.93;193.99;27.16;27.76
126;1207.29;221.23;17.09;31.43
127;1302.11;562.06;51.73;79.41
128;695.46;52.17;7.12;7.22
129;183.20;15.48;2.05;2.12
130;54.71;0.03;0.00;0.00
131;1721.38;484.39;62.59;62.67
132;673.00;256.92;33.09;33.08
133;348.86;28.29;0.59;3.63
134;698.68;61.64;7.37;7.81
135;688.44;41.97;4.72;5.25
136;272.26;90.00;11.23;11.33
137;1379.60;508.04;63.03;63.11
138;94.39;0.00;0.00;0.00
139;913.09;249.07;28.09;30.64
140;625.15;86.67;10.36;10.50
141;573.76;71.32;8.03;8.64
142;601.03;155.14;18.58;18.59
143;763.83;243.61;28.77;28.81
144;772.21;91.94;10.75;10.79
145;434.05;351.74;40.73;40.72
146;783.73;363.79;41.73;41.73
147;1084.42;463.49;38.30;52.96
148;97.19;0.01;0.00;0.00
149;853.37;649.97;71.94;71.91
150;531.01;36.20;3.99;3.99
151;364.09;76.79;7.14;8.44
152;418.24;54.34;4.78;5.97
153;468.69;146.85;11.95;16.08
154;217.16;146.43;15.91;15.90
155;725.41;88.24;9.38;9.49
156;827.48;61.99;6.65;6.65
157;615.73;65.77;7.00;7.00
158;232.65;3.96;0.42;0.42
159;230.96;171.10;0.84;0.84
160;486.75;28.47;3.00;3.07
161;1300.71;251.66;25.85;26.23
162;574.96;231.40;24.08;24.07
163;1217.22;605.25;60.46;61.92
164;379.29;8.42;0.85;0.85
165;1086.72;537.55;53.38;53.38
166;255.55;148.29;14.67;14.68
167;694.53;562.64;55.71;55.67
168;710.75;65.13;6.38;6.44
169;196.94;0.05;0.01;0.01
170;631.37;121.60;11.90;11.93
171;629.27;222.60;20.99;21.62
172;644.49;219.40;21.28;21.37
173;292.00;135.50;13.30;13.32
174;302.48;44.84;2.55;4.34
175;687.71;44.88;5.60;4.25
176;508.07;185.78;17.46;17.46
177;1484.89;411.02;37.92;38.02
178;200.15;0.00;0.00;0.00
179;935.14;622.77;57.35;57.33
180;815.56;179.91;16.32;16.56
181;545.03;375.02;18.22;18.23
182;1223.40;295.62;26.57;26.71
183;224.32;0.24;0.02;0.02
184;612.88;244.17;21.64;21.76
185;232.79;0.02;0.00;0.00
186;337.70;54.29;4.73;4.76
187;492.16;331.71;28.58;28.62
188;63.14;0.00;0.00;0.00
189;228.26;30.90;2.65;2.66
190;359.88;265.02;22.77;22.99
191;267.38;0.99;0.60;0.08
192;201.05;12.54;1.06;1.06
193;651.71;194.68;16.22;16.24
194;234.87;94.84;1.19;1.19
195;2330.05;853.20;71.10;71.10
196;639.46;273.45;22.65;22.65
197;1235.14;244.12;6.32;20.12
198;1649.06;675.86;53.61;54.59
199;198.54;21.43;1.72;1.72
200;50.24;0.00;0.00;0.00
201;3483.52;2025.30;162.66;162.73
202;96.27;0.00;0.00;0.00
203;1059.35;235.67;8.04;18.54
204;142.46;0.32;0.02;0.02
205;3072.94;1708.83;131.81;131.83
206;2799.06;1413.67;108.92;108.92
207;732.42;60.73;5.87;4.67
208;1606.66;493.98;37.72;37.85
209;173.99;1.15;0.09;0.09
210;823.18;493.94;37.69;37.68
211;559.98;333.38;25.22;25.22
212;520.90;27.25;1.81;2.05
213;3024.67;1600.36;118.56;118.67
214;1426.18;270.13;19.95;19.97
215;152.35;2.86;0.21;0.21
216;695.65;188.74;13.77;13.87
217;580.59;163.88;11.72;12.02
218;191.26;7.42;0.54;0.54
219;1071.85;160.12;11.57;11.57
220;987.23;462.05;33.32;33.33
221;563.59;172.82;11.55;12.45
222;231.09;0.36;0.16;0.03
223;249.87;94.34;6.75;6.76
224;1146.04;343.98;24.46;24.58
225;3082.53;1657.85;117.82;117.86
226;2178.96;926.96;65.82;65.83
227;894.85;138.58;9.67;9.82
228;90.43;0.23;0.01;0.02
229;241.86;4.34;0.31;0.31
230;71.87;0.00;0.00;0.00
231;891.29;243.72;17.13;17.16
232;164.75;0.56;0.04;0.04
233;465.22;89.72;5.67;6.29
234;524.43;60.20;4.21;4.18
235;306.06;152.15;10.41;10.41
236;2802.84;978.99;66.62;66.70
237;1013.15;201.09;13.68;13.74
238;641.60;105.82;1.06;1.06
239;2172.45;888.38;60.05;60.30
240;1489.33;598.00;30.12;40.19
241;687.90;621.01;41.73;41.73
242;887.49;315.22;15.58;20.97
243;1663.48;709.57;41.33;47.00
244;297.67;30.89;1.62;2.05
245;371.67;51.64;16.94;3.38
246;1224.87;391.69;23.79;25.47
247;530.93;59.73;3.67;3.88
248;2435.93;861.16;55.79;55.79
249;365.15;66.31;2.79;4.29
250;586.68;267.17;17.24;17.23
251;857.41;188.65;11.59;12.07
252;165.88;11.16;0.71;0.71
253;1414.00;427.34;26.89;26.92
254;244.09;14.66;0.92;0.92
255;305.78;4.10;0.26;0.26
256;241.02;12.02;0.72;0.75
257;591.35;273.54;16.99;16.99
258;1560.19;745.76;45.64;46.15
259;812.31;144.95;8.95;8.95
260;1466.39;468.49;28.91;28.91
261;3495.61;2122.23;130.33;130.33
262;1455.21;444.11;25.85;27.10
263;817.00;48.43;2.88;2.93
264;358.45;134.97;8.14;8.14
265;954.22;317.24;19.01;19.12
266;201.70;25.57;1.53;1.53
267;1442.12;493.20;16.80;29.42
268;379.47;8.54;0.46;0.51
269;111.92;5.92;0.35;0.35
270;228.97;0.46;0.03;0.03
271;813.96;379.25;21.14;22.34
272;237.88;18.85;0.78;1.11
273;2519.72;1057.27;60.95;61.98
274;634.81;75.66;4.43;4.43
275;928.34;917.24;53.55;53.55
276;624.99;286.98;16.75;16.75
277;620.35;205.36;11.96;11.96
278;222.14;9.75;0.57;0.57
279;399.34;131.51;7.63;7.63
280;433.55;25.49;1.32;1.48
281;867.14;350.80;20.19;20.34
282;777.93;557.36;32.22;32.22
283;456.04;273.01;15.83;15.82
