basinid,Yld_DIC,Yld_DOC,Yld_POC,Ld_DIC,Ld_DOC,Ld_POC,TSSpc_POC_pred,Yld_TSS,Ld_TSS,TSSc_pred
1,4373.1449484,4982.21090129,3054.57792858,25569210.0045,29130339.4524,17859720.0533,4.10232921199,74.4596001622,435355602.4,61.7622580777
2,1.4900636,1.58370704828,17.2830895986,5694.41215312,6052.27901863,66048.8823791,1.66557187025,1.03766699638,3965537.81671,269.493680047
3,2535.999543,1662.84725269,308.425247893,9369072.79165,6143272.77574,1139455.48857,3.73900306665,8.24886319681,30474847.6602,73.3709949101
4,2189.788863,918.967616009,532.663599738,7005506.83684,2939933.62811,1704081.40837,3.37796072734,15.7687919645,50447046.1892,88.0461152263
5,713.822,726.697428481,368.28020289,2157398.50704,2196312.17205,1113060.6228,3.43443372085,10.7231710618,32408854.3634,85.5006397165
6,1381.0,1103.28021916,315.356277969,3674689.09,2935707.30235,839128.366485,2.3422915096,13.4635794339,35825103.88,161.822224775
7,1951.8862539,1062.47824357,416.117515881,5027395.34872,2736582.71283,1071777.24095,3.58044856634,11.6219380944,29934161.0722,79.3694025091
8,2060.80715,855.966160604,641.461443986,5026102.55814,2087615.8691,1564460.31574,2.9566049541,21.6958793598,52914080.1706,110.801492614
9,1048.69,709.137170088,305.064558987,2346297.0584,1586595.13887,682539.241694,2.85109195319,10.6999200305,23939573.0794,117.765931987
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,5589.511369,2153.43688135,950.555316621,10017075.1146,3859217.30381,1703509.19402,1.03465831505,91.8714229415,164644614.482,518.697744573
12,1339.42,928.214198257,494.86744842,2347467.492,1626788.20386,867304.6901,3.51157666123,14.0924574959,24698441.0073,82.1837590825
13,1754.594688,1016.89003174,541.965608062,2970353.34732,1721493.13473,917493.577888,2.23638911271,24.2339584369,41025668.2378,173.913662732
14,5078.5033635,3536.98693544,9832.29341701,8260033.36563,5752803.14088,15991930.274,0.484649013215,2028.7451638,3299693146.57,2388.05528304
15,306.17637624,542.370690881,354.697437458,473272.133573,838369.49543,548273.563951,2.73874164829,12.9511097799,20019177.9423,125.877283673
16,3012.476677,755.920287158,34.1707345293,4442348.73174,1114717.85146,50389.8736736,4.20916558548,0.811817302868,1197146.38567,58.8231983333
17,2624.7453921,1050.51394461,252.641672784,3574798.23422,1430757.972,344087.852664,2.05776980051,12.2774507003,16721396.7558,197.51161385
18,0.0,19.1072314385,278.648011043,0.0,22355.2697107,326015.38644,0.904777353363,30.7974122039,36032664.3045,9410.95462796
19,46.61435843,103.004056357,165.965671443,53811.6153716,118907.882659,191590.771113,0.595508055598,27.869593011,32172658.1719,1158.71953415
20,661.6376312,238.579899047,0.0,755424.765423,272398.599737,0.0,0.0,0.0,0.0,0.0
21,889.338,632.557168538,34.2389271672,1012440.16596,720115.731808,38978.2794657,2.65362553966,1.29026973307,1468868.86952,132.557565798
22,17.11480916,17.8954080202,44.4993372424,18629.4697707,19479.15163,48437.5285883,0.489733278404,9.08644341822,9890593.66074,2678.09877769
23,285.91921312,159.771222937,74.4708092194,302356.708682,168956.470544,78752.1360414,0.794644059178,9.37159327616,9910366.17361,743.137527074
24,3477.7122473,1635.71690207,159.063356037,3660187.80892,1721542.96793,167409.410328,6.52395788075,2.4381419829,2566071.29274,23.7997857008
25,4720.0470485,5484.7309735,1121.35211937,4900022.44246,5693863.76552,1164109.27568,2.18998882628,51.2035543702,53155945.8984,179.628907778
26,36.2755185,18.7899739485,50.2094207047,37374.3039554,19359.1222594,51730.2640579,0.541209355934,9.27726399299,9558272.31934,1403.64275603
27,1396.6275855,203.106360136,0.0,1381192.05743,200861.628644,0.0,0.0,0.0,0.0,0.0
28,62.578186489,60.2948283435,32.3536219979,58977.3750602,56825.4036258,30491.9622346,0.559411047786,5.7835150246,5450725.78657,4104.75157509
29,324.03170982,155.721608221,0.0,289220.983234,138992.43585,0.0,0.0,0.0,0.0,0.0
30,2149.065794,506.359656346,451.272263732,1836785.04347,432780.534683,385697.891089,0.9211412542,48.9905605329,41871742.1818,606.671549627
31,126.99233136,142.238881034,66.3765170701,107469.673268,120372.355613,56172.3887244,1.51554944409,4.37969987249,3706404.23139,308.061369882
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,197.977332,85.2907606046,395.984780639,161369.145563,69519.5607704,322762.838866,0.549421321256,72.0730640255,58745961.6835,3940.98906561
34,1.46493062,0.695005451585,20.0245929259,1181.63794191,560.603212341,16152.1770721,1.16308797969,1.72167482387,1388732.18141,443.08144611
35,4.17984,1.70598059899,0.0,3359.91004608,1371.33032675,0.0,0.0,0.0,0.0,0.0
36,3743.01,1136.05059014,603.951858325,2946007.13769,894150.201931,475351.78518,2.0687652004,29.1938330269,22977560.9667,195.926722063
37,3270.72,2856.07368171,194.034330514,2510948.0976,2192622.04581,148961.125707,3.44753068374,5.62821185114,4320806.37918,84.9247546249
38,7502.6077107,2521.14328274,3297.79633351,5684425.75809,1910169.4196,2498608.37005,0.67573171294,488.033382237,369763372.386,941.142208777
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2333.18,1482.5069507,504.52334178,1705799.5639,1083868.24419,368859.537792,1.29483340643,38.9643439282,28487026.6676,383.008233142
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,163.8603456,275.529468289,186.911709439,114750.908443,192952.460054,130893.709385,2.68742923872,6.95503742932,4870591.84664,129.845742461
43,959.304,981.133766309,420.080221243,637794.223704,652307.765664,279290.755174,3.83584644456,10.9514347697,7281072.35808,70.0069448757
44,1059.52,495.573963919,281.931556032,653274.60352,305559.012377,173832.231092,2.04063799741,13.8158534924,8518523.68292,200.019057967
45,3034.3735625,730.965428434,41.3328895197,1864373.73552,449118.316608,25395.6713129,2.2795941717,1.8131687663,1114043.52705,168.827243346
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1550.3555232,467.542276544,17.4432647225,787943.388978,237620.881377,8865.26020299,3.25810804368,0.53538018042,272098.410616,93.8044352401
